ticket_id,paciente_id,fecha_encuesta,nps,csat,comentario
1,PAC-1,2024-03-29,6,5,
2,PAC-2,2024-01-27,0,1,
3,PAC-3,2024-05-01,5,4,
4,PAC-4,2024-04-13,8,4,Acción hacia gobierno.
5,PAC-5,2024-02-19,6,3,
6,PAC-6,2024-11-23,10,4,Más madrid dólares.
7,PAC-7,2024-10-05,10,4,
8,PAC-8,2024-10-12,10,5,Cultura edad central construcción experiencia hasta dejar uso.
9,PAC-9,2024-05-10,9,4,Mediante aquella volvió medidas paz.
10,PAC-10,2024-12-13,9,5,
11,PAC-11,2024-03-05,6,4,
12,PAC-12,2024-07-20,8,3,
13,PAC-13,2024-08-14,5,4,Participación estado tiempos manera vista.
14,PAC-14,2024-12-20,9,4,
15,PAC-15,2024-12-08,6,3,
16,PAC-16,2024-02-10,7,4,
17,PAC-17,2024-05-03,9,4,Imagen tres ciento pasó ello cual.
18,PAC-18,2024-04-15,3,4,Informe aquellas estudios aquí electoral muestra menor oficial.
19,PAC-19,2024-09-05,0,2,
20,PAC-20,2024-04-28,8,4,Juicio médico tiempos niño teatro.
21,PAC-21,2024-04-19,9,4,
22,PAC-22,2024-03-07,2,2,Hospital miembros momento igual según.
23,PAC-23,2024-06-14,8,4,Cultural práctica económica interior.
24,PAC-24,2024-09-22,7,4,
25,PAC-25,2024-07-27,9,4,
26,PAC-26,2024-02-15,2,4,Mes hicieron salida.
27,PAC-27,2024-12-14,6,4,
28,PAC-28,2024-01-31,10,5,
29,PAC-29,2024-04-22,9,5,
30,PAC-30,2024-07-24,7,3,
31,PAC-31,2024-01-08,9,4,Esfuerzo nuevos uso cargo éste ayuda porque.
32,PAC-32,2024-04-17,1,2,
33,PAC-33,2024-06-12,8,5,
34,PAC-34,2024-08-03,9,4,
35,PAC-35,2024-09-05,10,3,
36,PAC-36,2024-06-22,8,4,
37,PAC-37,2024-03-04,9,4,
38,PAC-38,2024-11-24,6,4,
39,PAC-39,2024-11-09,10,4,
40,PAC-40,2024-03-19,10,5,Carlos van debido nosotros estado martín hacerlo cierto.
41,PAC-41,2024-01-10,0,3,
42,PAC-42,2024-03-02,5,3,Realizar reunión ministerio desde pedro existe.
43,PAC-43,2024-02-23,4,3,
44,PAC-44,2024-04-24,10,4,
45,PAC-45,2024-02-18,3,2,
46,PAC-46,2024-03-18,10,4,
47,PAC-47,2024-02-16,6,3,
48,PAC-48,2024-12-20,9,4,Cuarto a club solución.
49,PAC-49,2024-01-30,5,3,
50,PAC-50,2024-10-19,7,4,
51,PAC-51,2024-08-13,4,2,Falta momentos acción su nuevos por pp.
52,PAC-52,2024-11-05,6,4,
53,PAC-53,2024-12-06,9,4,De española humanos alguna sigue asunto.
54,PAC-54,2024-06-18,10,4,
55,PAC-55,2024-08-31,6,3,
56,PAC-56,2024-06-01,8,3,
57,PAC-57,2024-10-11,8,4,
58,PAC-58,2024-01-18,10,4,Centros esto sigue mayores.
59,PAC-59,2024-11-15,8,4,Joven mano valor octubre juego principio política.
60,PAC-60,2024-11-15,2,3,
61,PAC-61,2024-02-28,5,4,
62,PAC-62,2024-07-17,10,4,
63,PAC-63,2024-08-03,8,4,
64,PAC-64,2024-10-23,0,3,
65,PAC-65,2024-04-09,2,3,Segunda alrededor secretario cine principal quizá.
66,PAC-66,2024-04-29,4,4,Aquellos serie media último marcha.
67,PAC-67,2024-07-01,8,4,Próximo necesario francia crisis objeto les.
68,PAC-68,2024-02-20,9,3,
69,PAC-69,2024-11-20,9,5,
70,PAC-70,2024-02-25,4,2,
71,PAC-71,2024-08-09,9,4,
72,PAC-72,2024-10-31,5,4,U lucha servicios para un derecho.
73,PAC-73,2024-06-02,7,4,C menor oposición cuarto pequeño.
74,PAC-74,2024-08-12,5,3,
75,PAC-75,2024-06-19,9,4,Hasta cargo aquellos.
76,PAC-76,2024-02-10,9,3,
77,PAC-77,2024-11-19,10,4,
78,PAC-78,2024-01-27,9,4,Formas pero fiscal radio acerca condiciones al.
79,PAC-79,2024-02-12,9,4,Oficial don total sigue alrededor casi otra.
80,PAC-80,2024-09-27,9,4,
81,PAC-81,2024-07-13,10,5,Quiero padre constitución color.
82,PAC-82,2024-02-06,9,4,San diversos han texto señaló.
83,PAC-83,2024-12-03,10,5,
84,PAC-84,2024-04-18,4,3,
85,PAC-85,2024-01-07,0,2,Máximo temas propia social aquellas forma blanca.
86,PAC-86,2024-05-14,0,3,
87,PAC-87,2024-12-29,10,5,
88,PAC-88,2024-01-21,10,5,
