ticket_id,fecha_creacion,fecha_resolucion,categoria,prioridad,sucursal,doctor_asignado_id,horas_resolucion,cumple_sla,reabierto,comentario
1,2024-03-24 14:27:39,2024-03-25 00:39:45,Reclamo,alta,Norte,20,10.2,1,0,
2,2024-01-12 17:11:53,2024-01-25 12:12:19,Sugerencia,baja,Este,18,307.0,0,0,
3,2024-04-25 03:22:07,2024-04-26 07:04:51,Reclamo,alta,Norte,19,27.7,1,0,
4,2024-04-07 17:24:36,2024-04-08 19:34:23,Queja,alta,Norte,10,26.2,1,0,Junio hemos bastante antonio posibilidades etc nombre. Entrada resultado sean empresas b.
5,2024-02-11 19:28:23,2024-02-12 06:36:05,Petición,media,Oeste,13,11.1,1,0,
6,2024-11-18 22:44:48,2024-11-19 02:36:20,Reclamo,alta,Oeste,6,3.9,1,0,
7,2024-10-01 01:41:22,2024-10-01 03:11:18,Reclamo,alta,Sur,3,1.5,1,0,
8,2024-10-07 12:55:29,2024-10-09 12:27:56,Queja,alta,Oeste,6,47.5,1,0,
9,2024-05-04 03:56:13,2024-05-05 05:01:12,Queja,alta,Sur,11,25.1,1,0,Pasado el quedó escuela r fecha. Esfuerzo comercio dicho buenos color cómo fecha.
10,2024-12-11 14:23:39,2024-12-12 23:33:00,Queja,alta,Este,2,33.2,1,0,
11,2024-03-01 06:30:43,2024-03-01 08:15:25,Petición,media,Norte,7,1.7,1,0,
12,2024-07-11 14:25:20,2024-07-15 07:44:08,Reclamo,alta,Norte,7,89.3,0,1,
13,2024-08-09 09:45:45,2024-08-11 08:50:18,Queja,alta,Sur,8,47.1,1,0,
14,2024-12-17 23:49:08,2024-12-19 03:18:32,Sugerencia,baja,Norte,19,27.5,1,0,
15,2024-12-05 01:16:55,2024-12-05 06:05:09,Queja,alta,Sur,17,4.8,1,0,"Última boca puerta revolución julio. Tarde orden energía proceso hizo.
Puede donde sobre mercado ésta dar gonzález resultado. Fuentes sociedad pronto seis dijo amigos libro."
